title,price,link,in stock,ratings
The Torch Is Passed: A Harding Family Story,£19.09,http://books.toscrape.com/catalogue/../../../the-torch-is-passed-a-harding-family-story_945/index.html,In stock,One
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,http://books.toscrape.com/catalogue/../../../the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,In stock,Four
The Art Forger,£40.76,http://books.toscrape.com/catalogue/../../../the-art-forger_930/index.html,In stock,Three
On a Midnight Clear,£14.07,http://books.toscrape.com/catalogue/../../../on-a-midnight-clear_912/index.html,In stock,Three
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,http://books.toscrape.com/catalogue/../../../judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,In stock,Two
"Shobu Samurai, Project Aryoku (#3)",£29.06,http://books.toscrape.com/catalogue/../../../shobu-samurai-project-aryoku-3_830/index.html,In stock,Three
Modern Romance,£28.26,http://books.toscrape.com/catalogue/../../../modern-romance_820/index.html,In stock,Five
The White Queen (The Cousins' War #1),£25.91,http://books.toscrape.com/catalogue/../../../the-white-queen-the-cousins-war-1_768/index.html,In stock,Five
The Song of Achilles,£37.40,http://books.toscrape.com/catalogue/../../../the-song-of-achilles_762/index.html,In stock,Five
The Immortal Life of Henrietta Lacks,£40.67,http://books.toscrape.com/catalogue/../../../the-immortal-life-of-henrietta-lacks_753/index.html,In stock,Two
The Dovekeepers,£48.78,http://books.toscrape.com/catalogue/../../../the-dovekeepers_748/index.html,In stock,One
More Than Music (Chasing the Dream #1),£37.61,http://books.toscrape.com/catalogue/../../../more-than-music-chasing-the-dream-1_716/index.html,In stock,Two
Code Name Verity (Code Name Verity #1),£22.13,http://books.toscrape.com/catalogue/../../../code-name-verity-code-name-verity-1_680/index.html,In stock,Four
Cell,£20.29,http://books.toscrape.com/catalogue/../../../cell_674/index.html,In stock,Four
Angels Walking (Angels Walking #1),£34.20,http://books.toscrape.com/catalogue/../../../angels-walking-angels-walking-1_662/index.html,In stock,Two
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",£56.48,http://books.toscrape.com/catalogue/../../../a-series-of-catastrophes-and-miracles-a-true-story-of-love-science-and-cancer_655/index.html,In stock,Two
A People's History of the United States,£40.79,http://books.toscrape.com/catalogue/../../../a-peoples-history-of-the-united-states_654/index.html,In stock,Two
A Brush of Wings (Angels Walking #3),£55.51,http://books.toscrape.com/catalogue/../../../a-brush-of-wings-angels-walking-3_651/index.html,In stock,One
Rook,£37.86,http://books.toscrape.com/catalogue/../../../rook_647/index.html,In stock,Four
The Midnight Watch: A Novel of the Titanic and the Californian,£26.20,http://books.toscrape.com/catalogue/../../../the-midnight-watch-a-novel-of-the-titanic-and-the-californian_640/index.html,In stock,One
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,£59.15,http://books.toscrape.com/catalogue/../../../the-gray-rhino-how-to-recognize-and-act-on-the-obvious-dangers-we-ignore_638/index.html,In stock,Four
The Children,£11.88,http://books.toscrape.com/catalogue/../../../the-children_633/index.html,In stock,Three
One with You (Crossfire #5),£15.71,http://books.toscrape.com/catalogue/../../../one-with-you-crossfire-5_626/index.html,In stock,Four
Without Shame,£48.27,http://books.toscrape.com/catalogue/../../../without-shame_580/index.html,In stock,Five
Watchmen,£58.05,http://books.toscrape.com/catalogue/../../../watchmen_579/index.html,In stock,Four
A Hero's Curse (The Unseen Chronicles #1),£50.49,http://books.toscrape.com/catalogue/../../../a-heros-curse-the-unseen-chronicles-1_557/index.html,In stock,Three
23 Degrees South: A Tropical Tale of Changing Whether...,£35.79,http://books.toscrape.com/catalogue/../../../23-degrees-south-a-tropical-tale-of-changing-whether_556/index.html,In stock,Two
The Glass Castle,£16.24,http://books.toscrape.com/catalogue/../../../the-glass-castle_496/index.html,In stock,One
The Drowning Girls,£35.67,http://books.toscrape.com/catalogue/../../../the-drowning-girls_494/index.html,In stock,Three
Team of Rivals: The Political Genius of Abraham Lincoln,£20.12,http://books.toscrape.com/catalogue/../../../team-of-rivals-the-political-genius-of-abraham-lincoln_488/index.html,In stock,Five
John Adams,£57.43,http://books.toscrape.com/catalogue/../../../john-adams_472/index.html,In stock,Four
Good in Bed (Cannie Shapiro #1),£37.05,http://books.toscrape.com/catalogue/../../../good-in-bed-cannie-shapiro-1_469/index.html,In stock,Five
The Joy of Cooking,£43.27,http://books.toscrape.com/catalogue/../../../the-joy-of-cooking_449/index.html,In stock,Four
The Golden Compass (His Dark Materials #1),£18.77,http://books.toscrape.com/catalogue/../../../the-golden-compass-his-dark-materials-1_445/index.html,In stock,One
The God Delusion,£46.85,http://books.toscrape.com/catalogue/../../../the-god-delusion_444/index.html,In stock,Three
Pride and Prejudice,£19.27,http://books.toscrape.com/catalogue/../../../pride-and-prejudice_437/index.html,In stock,Four
Mere Christianity,£48.51,http://books.toscrape.com/catalogue/../../../mere-christianity_435/index.html,In stock,Three
Fun Home: A Family Tragicomic,£56.59,http://books.toscrape.com/catalogue/../../../fun-home-a-family-tragicomic_428/index.html,In stock,Four
The Raven King (The Raven Cycle #4),£30.57,http://books.toscrape.com/catalogue/../../../the-raven-king-the-raven-cycle-4_412/index.html,In stock,Two
Find Her (Detective D.D. Warren #8),£22.37,http://books.toscrape.com/catalogue/../../../find-her-detective-dd-warren-8_373/index.html,In stock,One
Evicted: Poverty and Profit in the American City,£42.27,http://books.toscrape.com/catalogue/../../../evicted-poverty-and-profit-in-the-american-city_372/index.html,In stock,One
A Game of Thrones (A Song of Ice and Fire #1),£46.42,http://books.toscrape.com/catalogue/../../../a-game-of-thrones-a-song-of-ice-and-fire-1_358/index.html,In stock,Two
A Clash of Kings (A Song of Ice and Fire #2),£10.79,http://books.toscrape.com/catalogue/../../../a-clash-of-kings-a-song-of-ice-and-fire-2_356/index.html,In stock,Three
The Tipping Point: How Little Things Can Make a Big Difference,£10.02,http://books.toscrape.com/catalogue/../../../the-tipping-point-how-little-things-can-make-a-big-difference_284/index.html,In stock,Two
The Rest Is Noise: Listening to the Twentieth Century,£34.77,http://books.toscrape.com/catalogue/../../../the-rest-is-noise-listening-to-the-twentieth-century_274/index.html,In stock,One
The Purpose Driven Life: What on Earth Am I Here for?,£37.19,http://books.toscrape.com/catalogue/../../../the-purpose-driven-life-what-on-earth-am-i-here-for_272/index.html,In stock,Three
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),£47.80,http://books.toscrape.com/catalogue/../../../the-hitchhikers-guide-to-the-galaxy-hitchhikers-guide-to-the-galaxy-1_255/index.html,In stock,Three
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),£57.48,http://books.toscrape.com/catalogue/../../../the-girl-who-kicked-the-hornets-nest-millennium-trilogy-3_248/index.html,In stock,One
"The End of Faith: Religion, Terror, and the Future of Reason",£22.13,http://books.toscrape.com/catalogue/../../../the-end-of-faith-religion-terror-and-the-future-of-reason_246/index.html,In stock,Four
The Complete Poems,£41.32,http://books.toscrape.com/catalogue/../../../the-complete-poems_237/index.html,In stock,Five
The Catcher in the Rye,£24.55,http://books.toscrape.com/catalogue/../../../the-catcher-in-the-rye_236/index.html,In stock,One
The Case for Christ (Cases for Christianity),£47.84,http://books.toscrape.com/catalogue/../../../the-case-for-christ-cases-for-christianity_234/index.html,In stock,One
The Blind Side: Evolution of a Game,£53.71,http://books.toscrape.com/catalogue/../../../the-blind-side-evolution-of-a-game_231/index.html,In stock,Five
Seven Days in the Art World,£52.33,http://books.toscrape.com/catalogue/../../../seven-days-in-the-art-world_220/index.html,In stock,Two
Sarah's Key,£46.29,http://books.toscrape.com/catalogue/../../../sarahs-key_217/index.html,In stock,One
Rogue Lawyer (Rogue Lawyer #1),£50.11,http://books.toscrape.com/catalogue/../../../rogue-lawyer-rogue-lawyer-1_214/index.html,In stock,Three
Manuscript Found in Accra,£34.98,http://books.toscrape.com/catalogue/../../../manuscript-found-in-accra_192/index.html,In stock,Two
Fire Bound (Sea Haven/Sisters of the Heart #5),£21.28,http://books.toscrape.com/catalogue/../../../fire-bound-sea-havensisters-of-the-heart-5_157/index.html,In stock,Four
Cosmos,£36.17,http://books.toscrape.com/catalogue/../../../cosmos_141/index.html,In stock,Two
#GIRLBOSS,£50.96,http://books.toscrape.com/catalogue/../../../girlboss_113/index.html,In stock,One
The Sense of an Ending,£31.38,http://books.toscrape.com/catalogue/../../../the-sense-of-an-ending_111/index.html,In stock,Three
The Republic,£33.78,http://books.toscrape.com/catalogue/../../../the-republic_78/index.html,In stock,Three
The Odyssey,£29.64,http://books.toscrape.com/catalogue/../../../the-odyssey_77/index.html,In stock,Three
The Light of the Fireflies,£54.43,http://books.toscrape.com/catalogue/../../../the-light-of-the-fireflies_71/index.html,In stock,One
The Iliad,£16.16,http://books.toscrape.com/catalogue/../../../the-iliad_69/index.html,In stock,One
The Communist Manifesto,£14.76,http://books.toscrape.com/catalogue/../../../the-communist-manifesto_61/index.html,In stock,Three
