title,price,link,in stock,ratings
The Dirty Little Secrets of Getting Your Dream Job,£33.34,http://books.toscrape.com/catalogue/../../../the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,In stock,Four
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,http://books.toscrape.com/catalogue/../../../the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html,In stock,Five
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55,http://books.toscrape.com/catalogue/../../../the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html,In stock,Three
Shoe Dog: A Memoir by the Creator of NIKE,£23.99,http://books.toscrape.com/catalogue/../../../shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html,In stock,Two
Made to Stick: Why Some Ideas Survive and Others Die,£38.85,http://books.toscrape.com/catalogue/../../../made-to-stick-why-some-ideas-survive-and-others-die_715/index.html,In stock,Five
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,£43.14,http://books.toscrape.com/catalogue/../../../quench-your-own-thirst-business-lessons-learned-over-a-beer-or-two_629/index.html,In stock,One
The Art of Startup Fundraising,£21.00,http://books.toscrape.com/catalogue/../../../the-art-of-startup-fundraising_606/index.html,In stock,Three
Born for This: How to Find the Work You Were Meant to Do,£21.59,http://books.toscrape.com/catalogue/../../../born-for-this-how-to-find-the-work-you-were-meant-to-do_588/index.html,In stock,Five
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,£36.91,http://books.toscrape.com/catalogue/../../../the-e-myth-revisited-why-most-small-businesses-dont-work-and-what-to-do-about-it_545/index.html,In stock,One
"Rich Dad, Poor Dad",£51.74,http://books.toscrape.com/catalogue/../../../rich-dad-poor-dad_483/index.html,In stock,One
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,£33.92,http://books.toscrape.com/catalogue/../../../the-lean-startup-how-todays-entrepreneurs-use-continuous-innovation-to-create-radically-successful-businesses_260/index.html,In stock,Three
Rework,£44.88,http://books.toscrape.com/catalogue/../../../rework_212/index.html,In stock,Two
