title,price,link,in stock,ratings
The Secret Garden,£15.08,http://books.toscrape.com/catalogue/../../../the-secret-garden_413/index.html,In stock,Four
The Metamorphosis,£28.58,http://books.toscrape.com/catalogue/../../../the-metamorphosis_409/index.html,In stock,One
The Pilgrim's Progress,£50.26,http://books.toscrape.com/catalogue/../../../the-pilgrims-progress_353/index.html,In stock,Two
The Hound of the Baskervilles (Sherlock Holmes #5),£14.82,http://books.toscrape.com/catalogue/../../../the-hound-of-the-baskervilles-sherlock-holmes-5_348/index.html,In stock,Two
Little Women (Little Women #1),£28.07,http://books.toscrape.com/catalogue/../../../little-women-little-women-1_331/index.html,In stock,Four
Gone with the Wind,£32.49,http://books.toscrape.com/catalogue/../../../gone-with-the-wind_324/index.html,In stock,Three
Candide,£58.63,http://books.toscrape.com/catalogue/../../../candide_316/index.html,In stock,Three
Animal Farm,£57.22,http://books.toscrape.com/catalogue/../../../animal-farm_313/index.html,In stock,Three
Wuthering Heights,£17.73,http://books.toscrape.com/catalogue/../../../wuthering-heights_307/index.html,In stock,Three
The Picture of Dorian Gray,£29.70,http://books.toscrape.com/catalogue/../../../the-picture-of-dorian-gray_270/index.html,In stock,Two
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),£26.78,http://books.toscrape.com/catalogue/../../../the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition_238/index.html,In stock,Four
Beowulf,£38.35,http://books.toscrape.com/catalogue/../../../beowulf_126/index.html,In stock,Two
And Then There Were None,£35.01,http://books.toscrape.com/catalogue/../../../and-then-there-were-none_119/index.html,In stock,Two
The Story of Hong Gildong,£43.19,http://books.toscrape.com/catalogue/../../../the-story-of-hong-gildong_84/index.html,In stock,Four
The Little Prince,£45.42,http://books.toscrape.com/catalogue/../../../the-little-prince_72/index.html,In stock,Two
Sense and Sensibility,£37.46,http://books.toscrape.com/catalogue/../../../sense-and-sensibility_49/index.html,In stock,One
Of Mice and Men,£47.11,http://books.toscrape.com/catalogue/../../../of-mice-and-men_37/index.html,In stock,Two
Emma,£32.93,http://books.toscrape.com/catalogue/../../../emma_17/index.html,In stock,Two
Alice in Wonderland (Alice's Adventures in Wonderland #1),£55.53,http://books.toscrape.com/catalogue/../../../alice-in-wonderland-alices-adventures-in-wonderland-1_5/index.html,In stock,One
