title,price,link,in stock,ratings
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,http://books.toscrape.com/catalogue/../../../the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,In stock,Three
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,http://books.toscrape.com/catalogue/../../../the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,In stock,Four
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,http://books.toscrape.com/catalogue/../../../starving-hearts-triangular-trade-trilogy-1_990/index.html,In stock,Two
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,http://books.toscrape.com/catalogue/../../../americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,In stock,Three
Aladdin and His Wonderful Lamp,£53.13,http://books.toscrape.com/catalogue/../../../aladdin-and-his-wonderful-lamp_973/index.html,In stock,Three
Penny Maybe,£33.29,http://books.toscrape.com/catalogue/../../../penny-maybe_965/index.html,In stock,Three
Maude (1883-1993):She Grew Up with the country,£18.02,http://books.toscrape.com/catalogue/../../../maude-1883-1993she-grew-up-with-the-country_964/index.html,In stock,Two
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,http://books.toscrape.com/catalogue/../../../the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,In stock,Five
Soul Reader,£39.58,http://books.toscrape.com/catalogue/../../../soul-reader_926/index.html,In stock,Two
Bossypants,£49.46,http://books.toscrape.com/catalogue/../../../bossypants_883/index.html,In stock,Two
A World of Flavor: Your Gluten Free Passport,£42.95,http://books.toscrape.com/catalogue/../../../a-world-of-flavor-your-gluten-free-passport_879/index.html,In stock,One
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",£56.76,http://books.toscrape.com/catalogue/../../../a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,In stock,Five
Tracing Numbers on a Train,£41.60,http://books.toscrape.com/catalogue/../../../tracing-numbers-on-a-train_869/index.html,In stock,Three
Thirteen Reasons Why,£52.72,http://books.toscrape.com/catalogue/../../../thirteen-reasons-why_866/index.html,In stock,One
The Secret (The Secret #1),£27.37,http://books.toscrape.com/catalogue/../../../the-secret-the-secret-1_859/index.html,In stock,Four
The Psychopath Test: A Journey Through the Madness Industry,£36.00,http://books.toscrape.com/catalogue/../../../the-psychopath-test-a-journey-through-the-madness-industry_857/index.html,In stock,Two
The Kite Runner,£41.82,http://books.toscrape.com/catalogue/../../../the-kite-runner_847/index.html,In stock,Four
The Girl on the Train,£55.02,http://books.toscrape.com/catalogue/../../../the-girl-on-the-train_844/index.html,In stock,Two
The Emerald Mystery,£23.15,http://books.toscrape.com/catalogue/../../../the-emerald-mystery_842/index.html,In stock,Two
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,£32.00,http://books.toscrape.com/catalogue/../../../the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html,In stock,Three
