title,price,link,in stock,ratings
Unicorn Tracks,£18.78,http://books.toscrape.com/catalogue/../../../unicorn-tracks_951/index.html,In stock,Three
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,http://books.toscrape.com/catalogue/../../../saga-volume-6-saga-collected-editions-6_924/index.html,In stock,Three
Princess Between Worlds (Wide-Awake Princess #5),£13.34,http://books.toscrape.com/catalogue/../../../princess-between-worlds-wide-awake-princess-5_919/index.html,In stock,Five
Masks and Shadows,£56.40,http://books.toscrape.com/catalogue/../../../masks-and-shadows_909/index.html,In stock,Two
Crown of Midnight (Throne of Glass #2),£43.29,http://books.toscrape.com/catalogue/../../../crown-of-midnight-throne-of-glass-2_888/index.html,In stock,Three
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",£28.09,http://books.toscrape.com/catalogue/../../../avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,In stock,Two
A Court of Thorns and Roses (A Court of Thorns and Roses #1),£52.37,http://books.toscrape.com/catalogue/../../../a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,In stock,One
Throne of Glass (Throne of Glass #1),£35.07,http://books.toscrape.com/catalogue/../../../throne-of-glass-throne-of-glass-1_868/index.html,In stock,Three
The Glittering Court (The Glittering Court #1),£44.28,http://books.toscrape.com/catalogue/../../../the-glittering-court-the-glittering-court-1_845/index.html,In stock,One
Hollow City (Miss Peregrine’s Peculiar Children #2),£42.98,http://books.toscrape.com/catalogue/../../../hollow-city-miss-peregrines-peculiar-children-2_813/index.html,In stock,One
The Star-Touched Queen,£46.02,http://books.toscrape.com/catalogue/../../../the-star-touched-queen_764/index.html,In stock,Five
The Hidden Oracle (The Trials of Apollo #1),£52.26,http://books.toscrape.com/catalogue/../../../the-hidden-oracle-the-trials-of-apollo-1_752/index.html,In stock,Two
The Bane Chronicles (The Bane Chronicles #1-11),£44.73,http://books.toscrape.com/catalogue/../../../the-bane-chronicles-the-bane-chronicles-1-11_746/index.html,In stock,Four
Island of Dragons (Unwanteds #7),£29.65,http://books.toscrape.com/catalogue/../../../island-of-dragons-unwanteds-7_705/index.html,In stock,One
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),£37.51,http://books.toscrape.com/catalogue/../../../demigods-magicians-percy-and-annabeth-meet-the-kanes-percy-jackson-kane-chronicles-crossover-1-3_685/index.html,In stock,Five
City of Glass (The Mortal Instruments #3),£56.02,http://books.toscrape.com/catalogue/../../../city-of-glass-the-mortal-instruments-3_678/index.html,In stock,Four
Searching for Meaning in Gailana,£38.73,http://books.toscrape.com/catalogue/../../../searching-for-meaning-in-gailana_648/index.html,In stock,One
The Star-Touched Queen,£32.30,http://books.toscrape.com/catalogue/../../../the-star-touched-queen_642/index.html,In stock,Five
A Shard of Ice (The Black Symphony Saga #1),£56.63,http://books.toscrape.com/catalogue/../../../a-shard-of-ice-the-black-symphony-saga-1_558/index.html,In stock,Three
King's Folly (The Kinsman Chronicles #1),£39.61,http://books.toscrape.com/catalogue/../../../kings-folly-the-kinsman-chronicles-1_473/index.html,In stock,Five
