title,price,link,in stock,ratings
Soumission,£50.10,http://books.toscrape.com/catalogue/../../../soumission_998/index.html,In stock,One
Private Paris (Private #10),£47.61,http://books.toscrape.com/catalogue/../../../private-paris-private-10_958/index.html,In stock,Five
"We Love You, Charlie Freeman",£50.27,http://books.toscrape.com/catalogue/../../../we-love-you-charlie-freeman_954/index.html,In stock,Five
Thirst,£17.27,http://books.toscrape.com/catalogue/../../../thirst_946/index.html,In stock,Five
The Murder That Never Was (Forensic Instincts #5),£54.11,http://books.toscrape.com/catalogue/../../../the-murder-that-never-was-forensic-instincts-5_939/index.html,In stock,Three
Tuesday Nights in 1980,£21.04,http://books.toscrape.com/catalogue/../../../tuesday-nights-in-1980_870/index.html,In stock,Two
The Vacationers,£42.15,http://books.toscrape.com/catalogue/../../../the-vacationers_863/index.html,In stock,Four
The Regional Office Is Under Attack!,£51.36,http://books.toscrape.com/catalogue/../../../the-regional-office-is-under-attack_858/index.html,In stock,Five
Finders Keepers (Bill Hodges Trilogy #2),£53.53,http://books.toscrape.com/catalogue/../../../finders-keepers-bill-hodges-trilogy-2_807/index.html,In stock,Five
The Time Keeper,£27.88,http://books.toscrape.com/catalogue/../../../the-time-keeper_766/index.html,In stock,Five
The Testament of Mary,£52.67,http://books.toscrape.com/catalogue/../../../the-testament-of-mary_765/index.html,In stock,Four
The First Hostage (J.B. Collins #2),£25.85,http://books.toscrape.com/catalogue/../../../the-first-hostage-jb-collins-2_749/index.html,In stock,Three
Take Me with You,£45.21,http://books.toscrape.com/catalogue/../../../take-me-with-you_741/index.html,In stock,Three
Still Life with Bread Crumbs,£26.41,http://books.toscrape.com/catalogue/../../../still-life-with-bread-crumbs_738/index.html,In stock,Three
Shtum,£55.84,http://books.toscrape.com/catalogue/../../../shtum_733/index.html,In stock,Four
My Name Is Lucy Barton,£41.56,http://books.toscrape.com/catalogue/../../../my-name-is-lucy-barton_720/index.html,In stock,One
My Mrs. Brown,£24.48,http://books.toscrape.com/catalogue/../../../my-mrs-brown_719/index.html,In stock,Three
Mr. Mercedes (Bill Hodges Trilogy #1),£28.90,http://books.toscrape.com/catalogue/../../../mr-mercedes-bill-hodges-trilogy-1_717/index.html,In stock,One
I Am Pilgrim (Pilgrim #1),£10.60,http://books.toscrape.com/catalogue/../../../i-am-pilgrim-pilgrim-1_703/index.html,In stock,Four
Eligible (The Austen Project #4),£27.09,http://books.toscrape.com/catalogue/../../../eligible-the-austen-project-4_692/index.html,In stock,Three
