title,price,link,in stock,ratings
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,http://books.toscrape.com/catalogue/../../../foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,In stock,Three
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,http://books.toscrape.com/catalogue/../../../the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,In stock,One
My Paris Kitchen: Recipes and Stories,£33.37,http://books.toscrape.com/catalogue/../../../my-paris-kitchen-recipes-and-stories_910/index.html,In stock,Two
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,http://books.toscrape.com/catalogue/../../../mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,In stock,Four
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,http://books.toscrape.com/catalogue/../../../layered-baking-building-and-styling-spectacular-cakes_904/index.html,In stock,One
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,£37.34,http://books.toscrape.com/catalogue/../../../the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html,In stock,Five
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,£37.60,http://books.toscrape.com/catalogue/../../../the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html,In stock,Two
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,£41.25,http://books.toscrape.com/catalogue/../../../the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html,In stock,One
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",£42.16,http://books.toscrape.com/catalogue/../../../deliciously-ella-every-day-quick-and-easy-recipes-for-gluten-free-snacks-packed-lunches-and-simple-meals_801/index.html,In stock,Three
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,£28.77,http://books.toscrape.com/catalogue/../../../the-help-yourself-cookbook-for-kids-60-easy-plant-based-recipes-kids-can-make-to-stay-healthy-and-save-the-earth_751/index.html,In stock,Three
