title,price,link,in stock,ratings
Tipping the Velvet,£53.74,http://books.toscrape.com/catalogue/../../../tipping-the-velvet_999/index.html,In stock,One
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,http://books.toscrape.com/catalogue/../../../forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,In stock,Three
A Flight of Arrows (The Pathfinders #2),£55.53,http://books.toscrape.com/catalogue/../../../a-flight-of-arrows-the-pathfinders-2_876/index.html,In stock,Five
The House by the Lake,£36.95,http://books.toscrape.com/catalogue/../../../the-house-by-the-lake_846/index.html,In stock,One
Mrs. Houdini,£30.25,http://books.toscrape.com/catalogue/../../../mrs-houdini_821/index.html,In stock,Five
The Marriage of Opposites,£28.08,http://books.toscrape.com/catalogue/../../../the-marriage-of-opposites_759/index.html,In stock,Four
Glory over Everything: Beyond The Kitchen House,£45.84,http://books.toscrape.com/catalogue/../../../glory-over-everything-beyond-the-kitchen-house_696/index.html,In stock,Three
"Love, Lies and Spies",£20.55,http://books.toscrape.com/catalogue/../../../love-lies-and-spies_622/index.html,In stock,Two
A Paris Apartment,£39.01,http://books.toscrape.com/catalogue/../../../a-paris-apartment_612/index.html,In stock,Four
Lilac Girls,£17.28,http://books.toscrape.com/catalogue/../../../lilac-girls_597/index.html,In stock,Two
The Constant Princess (The Tudor Court #1),£16.62,http://books.toscrape.com/catalogue/../../../the-constant-princess-the-tudor-court-1_493/index.html,In stock,Three
The Invention of Wings,£37.34,http://books.toscrape.com/catalogue/../../../the-invention-of-wings_448/index.html,In stock,One
World Without End (The Pillars of the Earth #2),£32.97,http://books.toscrape.com/catalogue/../../../world-without-end-the-pillars-of-the-earth-2_420/index.html,In stock,Four
The Passion of Dolssa,£28.32,http://books.toscrape.com/catalogue/../../../the-passion-of-dolssa_351/index.html,In stock,Five
Girl With a Pearl Earring,£26.77,http://books.toscrape.com/catalogue/../../../girl-with-a-pearl-earring_322/index.html,In stock,One
Voyager (Outlander #3),£21.07,http://books.toscrape.com/catalogue/../../../voyager-outlander-3_299/index.html,In stock,Five
The Red Tent,£35.66,http://books.toscrape.com/catalogue/../../../the-red-tent_273/index.html,In stock,Five
The Last Painting of Sara de Vos,£55.55,http://books.toscrape.com/catalogue/../../../the-last-painting-of-sara-de-vos_259/index.html,In stock,Two
The Guernsey Literary and Potato Peel Pie Society,£49.53,http://books.toscrape.com/catalogue/../../../the-guernsey-literary-and-potato-peel-pie-society_253/index.html,In stock,One
Girl in the Blue Coat,£46.83,http://books.toscrape.com/catalogue/../../../girl-in-the-blue-coat_160/index.html,In stock,Two
Between Shades of Gray,£20.79,http://books.toscrape.com/catalogue/../../../between-shades-of-gray_128/index.html,In stock,Five
While You Were Mine,£41.32,http://books.toscrape.com/catalogue/../../../while-you-were-mine_97/index.html,In stock,Five
The Secret Healer,£34.56,http://books.toscrape.com/catalogue/../../../the-secret-healer_80/index.html,In stock,Three
Starlark,£25.83,http://books.toscrape.com/catalogue/../../../starlark_56/index.html,In stock,Three
Lost Among the Living,£27.70,http://books.toscrape.com/catalogue/../../../lost-among-the-living_31/index.html,In stock,Four
A Spy's Devotion (The Regency Spies of London #1),£16.97,http://books.toscrape.com/catalogue/../../../a-spys-devotion-the-regency-spies-of-london-1_3/index.html,In stock,Five
