title,price,link,in stock,ratings
Security,£39.25,http://books.toscrape.com/catalogue/../../../security_925/index.html,In stock,Two
Follow You Home,£21.36,http://books.toscrape.com/catalogue/../../../follow-you-home_809/index.html,In stock,One
The Loney,£23.40,http://books.toscrape.com/catalogue/../../../the-loney_756/index.html,In stock,One
Pet Sematary,£10.56,http://books.toscrape.com/catalogue/../../../pet-sematary_726/index.html,In stock,Three
Doctor Sleep (The Shining #2),£40.12,http://books.toscrape.com/catalogue/../../../doctor-sleep-the-shining-2_686/index.html,In stock,Two
Psycho: Sanitarium (Psycho #1.5),£36.97,http://books.toscrape.com/catalogue/../../../psycho-sanitarium-psycho-15_628/index.html,In stock,Five
Can You Keep a Secret? (Fear Street Relaunch #4),£48.64,http://books.toscrape.com/catalogue/../../../can-you-keep-a-secret-fear-street-relaunch-4_614/index.html,In stock,One
Red Dragon (Hannibal Lecter #1),£23.37,http://books.toscrape.com/catalogue/../../../red-dragon-hannibal-lecter-1_390/index.html,In stock,Three
Dracula the Un-Dead,£35.63,http://books.toscrape.com/catalogue/../../../dracula-the-un-dead_370/index.html,In stock,Five
Night Shift (Night Shift #1-20),£12.75,http://books.toscrape.com/catalogue/../../../night-shift-night-shift-1-20_335/index.html,In stock,Four
Needful Things,£47.51,http://books.toscrape.com/catalogue/../../../needful-things_334/index.html,In stock,Four
Misery,£34.79,http://books.toscrape.com/catalogue/../../../misery_332/index.html,In stock,Two
It,£25.01,http://books.toscrape.com/catalogue/../../../it_330/index.html,In stock,Three
'Salem's Lot,£49.56,http://books.toscrape.com/catalogue/../../../salems-lot_309/index.html,In stock,Four
The Stand,£57.86,http://books.toscrape.com/catalogue/../../../the-stand_282/index.html,In stock,Two
The Girl with All the Gifts,£49.47,http://books.toscrape.com/catalogue/../../../the-girl-with-all-the-gifts_250/index.html,In stock,Three
House of Leaves,£54.89,http://books.toscrape.com/catalogue/../../../house-of-leaves_169/index.html,In stock,One
