title,price,link,in stock,ratings
The Long Haul (Diary of a Wimpy Kid #9),£44.07,http://books.toscrape.com/catalogue/../../../the-long-haul-diary-of-a-wimpy-kid-9_757/index.html,In stock,One
Old School (Diary of a Wimpy Kid #10),£11.83,http://books.toscrape.com/catalogue/../../../old-school-diary-of-a-wimpy-kid-10_723/index.html,In stock,Five
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,£25.98,http://books.toscrape.com/catalogue/../../../i-know-what-im-doing-and-other-lies-i-tell-myself-dispatches-from-a-life-under-construction_704/index.html,In stock,Four
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",£14.75,http://books.toscrape.com/catalogue/../../../hyperbole-and-a-half-unfortunate-situations-flawed-coping-mechanisms-mayhem-and-other-things-that-happened_702/index.html,In stock,Five
Dress Your Family in Corduroy and Denim,£43.68,http://books.toscrape.com/catalogue/../../../dress-your-family-in-corduroy-and-denim_562/index.html,In stock,Three
Toddlers Are A**holes: It's Not Your Fault,£25.55,http://books.toscrape.com/catalogue/../../../toddlers-are-aholes-its-not-your-fault_503/index.html,In stock,One
When You Are Engulfed in Flames,£30.89,http://books.toscrape.com/catalogue/../../../when-you-are-engulfed-in-flames_303/index.html,In stock,Five
Naked,£31.69,http://books.toscrape.com/catalogue/../../../naked_197/index.html,In stock,Three
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",£55.50,http://books.toscrape.com/catalogue/../../../lamb-the-gospel-according-to-biff-christs-childhood-pal_182/index.html,In stock,Five
Holidays on Ice,£51.07,http://books.toscrape.com/catalogue/../../../holidays-on-ice_167/index.html,In stock,Two
