title,price,link,in stock,ratings
Rip it Up and Start Again,£35.02,http://books.toscrape.com/catalogue/../../../rip-it-up-and-start-again_986/index.html,In stock,Five
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,http://books.toscrape.com/catalogue/../../../our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,In stock,Three
How Music Works,£37.32,http://books.toscrape.com/catalogue/../../../how-music-works_979/index.html,In stock,Two
Love Is a Mix Tape (Music #1),£18.03,http://books.toscrape.com/catalogue/../../../love-is-a-mix-tape-music-1_711/index.html,In stock,One
Please Kill Me: The Uncensored Oral History of Punk,£31.19,http://books.toscrape.com/catalogue/../../../please-kill-me-the-uncensored-oral-history-of-punk_537/index.html,In stock,Four
Kill 'Em and Leave: Searching for James Brown and the American Soul,£45.05,http://books.toscrape.com/catalogue/../../../kill-em-and-leave-searching-for-james-brown-and-the-american-soul_528/index.html,In stock,Five
"Chronicles, Vol. 1",£52.60,http://books.toscrape.com/catalogue/../../../chronicles-vol-1_462/index.html,In stock,Two
This Is Your Brain on Music: The Science of a Human Obsession,£38.40,http://books.toscrape.com/catalogue/../../../this-is-your-brain-on-music-the-science-of-a-human-obsession_414/index.html,In stock,One
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",£12.36,http://books.toscrape.com/catalogue/../../../orchestra-of-exiles-the-story-of-bronislaw-huberman-the-israel-philharmonic-and-the-one-thousand-jews-he-saved-from-nazi-horrors_337/index.html,In stock,Three
No One Here Gets Out Alive,£20.02,http://books.toscrape.com/catalogue/../../../no-one-here-gets-out-alive_336/index.html,In stock,Five
Life,£31.58,http://books.toscrape.com/catalogue/../../../life_104/index.html,In stock,Five
Old Records Never Die: One Man's Quest for His Vinyl and His Past,£55.66,http://books.toscrape.com/catalogue/../../../old-records-never-die-one-mans-quest-for-his-vinyl-and-his-past_39/index.html,In stock,Two
Forever Rockers (The Rocker #12),£28.80,http://books.toscrape.com/catalogue/../../../forever-rockers-the-rocker-12_19/index.html,In stock,Three
