title,price,link,in stock,ratings
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,http://books.toscrape.com/catalogue/../../../worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,In stock,Five
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,http://books.toscrape.com/catalogue/../../../the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,In stock,Three
Reasons to Stay Alive,£26.41,http://books.toscrape.com/catalogue/../../../reasons-to-stay-alive_959/index.html,In stock,Two
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,http://books.toscrape.com/catalogue/../../../higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,In stock,Five
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,http://books.toscrape.com/catalogue/../../../unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,In stock,Four
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,http://books.toscrape.com/catalogue/../../../throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,In stock,Three
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,http://books.toscrape.com/catalogue/../../../the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,In stock,Three
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,http://books.toscrape.com/catalogue/../../../the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,In stock,One
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,http://books.toscrape.com/catalogue/../../../the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,In stock,One
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,http://books.toscrape.com/catalogue/../../../spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,In stock,Four
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,http://books.toscrape.com/catalogue/../../../reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,In stock,Two
In the Country We Love: My Family Divided,£22.00,http://books.toscrape.com/catalogue/../../../in-the-country-we-love-my-family-divided_901/index.html,In stock,Four
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35,http://books.toscrape.com/catalogue/../../../everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,In stock,Two
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,£29.14,http://books.toscrape.com/catalogue/../../../call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,In stock,Five
Algorithms to Live By: The Computer Science of Human Decisions,£30.81,http://books.toscrape.com/catalogue/../../../algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,In stock,One
The Power of Now: A Guide to Spiritual Enlightenment,£43.54,http://books.toscrape.com/catalogue/../../../the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,In stock,Two
The Omnivore's Dilemma: A Natural History of Four Meals,£38.21,http://books.toscrape.com/catalogue/../../../the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,In stock,Two
The Genius of Birds,£17.24,http://books.toscrape.com/catalogue/../../../the-genius-of-birds_843/index.html,In stock,One
The Artist's Way: A Spiritual Path to Higher Creativity,£38.49,http://books.toscrape.com/catalogue/../../../the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html,In stock,Five
So You've Been Publicly Shamed,£12.23,http://books.toscrape.com/catalogue/../../../so-youve-been-publicly-shamed_832/index.html,In stock,Two
