title,price,link,in stock,ratings
Sophie's World,£15.94,http://books.toscrape.com/catalogue/../../../sophies-world_966/index.html,In stock,Five
The Death of Humanity: and the Case for Life,£58.11,http://books.toscrape.com/catalogue/../../../the-death-of-humanity-and-the-case-for-life_932/index.html,In stock,Four
The Stranger,£17.44,http://books.toscrape.com/catalogue/../../../the-stranger_861/index.html,In stock,Four
Proofs of God: Classical Arguments from Tertullian to Barth,£54.21,http://books.toscrape.com/catalogue/../../../proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html,In stock,One
Kierkegaard: A Christian Missionary to Christians,£47.13,http://books.toscrape.com/catalogue/../../../kierkegaard-a-christian-missionary-to-christians_527/index.html,In stock,One
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",£29.93,http://books.toscrape.com/catalogue/../../../at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html,In stock,Five
Critique of Pure Reason,£20.75,http://books.toscrape.com/catalogue/../../../critique-of-pure-reason_366/index.html,In stock,One
"Run, Spot, Run: The Ethics of Keeping Pets",£20.02,http://books.toscrape.com/catalogue/../../../run-spot-run-the-ethics-of-keeping-pets_106/index.html,In stock,One
The Nicomachean Ethics,£36.34,http://books.toscrape.com/catalogue/../../../the-nicomachean-ethics_75/index.html,In stock,One
Meditations,£25.89,http://books.toscrape.com/catalogue/../../../meditations_33/index.html,In stock,Two
Beyond Good and Evil,£43.38,http://books.toscrape.com/catalogue/../../../beyond-good-and-evil_6/index.html,In stock,One
