title,price,link,in stock,ratings
A Light in the Attic,£51.77,http://books.toscrape.com/catalogue/../../../a-light-in-the-attic_1000/index.html,In stock,Three
The Black Maria,£52.15,http://books.toscrape.com/catalogue/../../../the-black-maria_991/index.html,In stock,One
Shakespeare's Sonnets,£20.66,http://books.toscrape.com/catalogue/../../../shakespeares-sonnets_989/index.html,In stock,Four
Olio,£23.88,http://books.toscrape.com/catalogue/../../../olio_984/index.html,In stock,One
You can't bury them all: Poems,£33.63,http://books.toscrape.com/catalogue/../../../you-cant-bury-them-all-poems_961/index.html,In stock,Two
Slow States of Collapse: Poems,£57.31,http://books.toscrape.com/catalogue/../../../slow-states-of-collapse-poems_960/index.html,In stock,Three
Untitled Collection: Sabbath Poems 2014,£14.27,http://books.toscrape.com/catalogue/../../../untitled-collection-sabbath-poems-2014_953/index.html,In stock,Four
Poems That Make Grown Women Cry,£14.19,http://books.toscrape.com/catalogue/../../../poems-that-make-grown-women-cry_824/index.html,In stock,Four
Night Sky with Exit Wounds,£41.05,http://books.toscrape.com/catalogue/../../../night-sky-with-exit-wounds_822/index.html,In stock,One
salt.,£46.78,http://books.toscrape.com/catalogue/../../../salt_731/index.html,In stock,Four
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",£50.89,http://books.toscrape.com/catalogue/../../../quarter-life-poetry-poems-for-the-young-broke-and-hangry_727/index.html,In stock,Five
Out of Print: City Lights Spotlight No. 14,£53.64,http://books.toscrape.com/catalogue/../../../out-of-print-city-lights-spotlight-no-14_536/index.html,In stock,Five
Les Fleurs du Mal,£29.04,http://books.toscrape.com/catalogue/../../../les-fleurs-du-mal_530/index.html,In stock,Five
Howl and Other Poems,£40.45,http://books.toscrape.com/catalogue/../../../howl-and-other-poems_522/index.html,In stock,Two
Leave This Song Behind: Teen Poetry at Its Best,£51.17,http://books.toscrape.com/catalogue/../../../leave-this-song-behind-teen-poetry-at-its-best_474/index.html,In stock,Five
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),£15.42,http://books.toscrape.com/catalogue/../../../the-collected-poems-of-wb-yeats-the-collected-works-of-wb-yeats-1_441/index.html,In stock,Five
The Crossover,£38.77,http://books.toscrape.com/catalogue/../../../the-crossover_398/index.html,In stock,Four
Booked,£17.49,http://books.toscrape.com/catalogue/../../../booked_365/index.html,In stock,Five
Twenty Love Poems and a Song of Despair,£30.95,http://books.toscrape.com/catalogue/../../../twenty-love-poems-and-a-song-of-despair_91/index.html,In stock,Four
