title,price,link,in stock,ratings
Chase Me (Paris Nights #2),£25.27,http://books.toscrape.com/catalogue/../../../chase-me-paris-nights-2_977/index.html,In stock,Five
Black Dust,£34.53,http://books.toscrape.com/catalogue/../../../black-dust_976/index.html,In stock,Five
Her Backup Boyfriend (The Sorensen Family #1),£33.97,http://books.toscrape.com/catalogue/../../../her-backup-boyfriend-the-sorensen-family-1_896/index.html,In stock,One
First and First (Five Boroughs #3),£15.97,http://books.toscrape.com/catalogue/../../../first-and-first-five-boroughs-3_893/index.html,In stock,Four
Fifty Shades Darker (Fifty Shades #2),£21.96,http://books.toscrape.com/catalogue/../../../fifty-shades-darker-fifty-shades-2_892/index.html,In stock,One
The Wedding Dress,£24.12,http://books.toscrape.com/catalogue/../../../the-wedding-dress_864/index.html,In stock,One
Suddenly in Love (Lake Haven #1),£55.99,http://books.toscrape.com/catalogue/../../../suddenly-in-love-lake-haven-1_835/index.html,In stock,Two
Something More Than This,£16.24,http://books.toscrape.com/catalogue/../../../something-more-than-this_834/index.html,In stock,Four
Doing It Over (Most Likely To #1),£35.61,http://books.toscrape.com/catalogue/../../../doing-it-over-most-likely-to-1_802/index.html,In stock,Three
The Wedding Pact (The O'Malleys #2),£32.61,http://books.toscrape.com/catalogue/../../../the-wedding-pact-the-omalleys-2_767/index.html,In stock,Three
Hold Your Breath (Search and Rescue #1),£28.82,http://books.toscrape.com/catalogue/../../../hold-your-breath-search-and-rescue-1_700/index.html,In stock,One
Dirty (Dive Bar #1),£40.83,http://books.toscrape.com/catalogue/../../../dirty-dive-bar-1_615/index.html,In stock,Four
Take Me Home Tonight (Rock Star Romance #3),£53.98,http://books.toscrape.com/catalogue/../../../take-me-home-tonight-rock-star-romance-3_605/index.html,In stock,Three
Off the Hook (Fishing for Trouble #1),£47.67,http://books.toscrape.com/catalogue/../../../off-the-hook-fishing-for-trouble-1_601/index.html,In stock,Three
A Gentleman's Position (Society of Gentlemen #3),£14.75,http://books.toscrape.com/catalogue/../../../a-gentlemans-position-society-of-gentlemen-3_584/index.html,In stock,Five
"Sit, Stay, Love",£20.90,http://books.toscrape.com/catalogue/../../../sit-stay-love_486/index.html,In stock,Three
A Girl's Guide to Moving On (New Beginnings #2),£31.30,http://books.toscrape.com/catalogue/../../../a-girls-guide-to-moving-on-new-beginnings-2_359/index.html,In stock,One
The Perfect Play (Play by Play #1),£59.99,http://books.toscrape.com/catalogue/../../../the-perfect-play-play-by-play-1_352/index.html,In stock,Three
Dark Lover (Black Dagger Brotherhood #1),£12.87,http://books.toscrape.com/catalogue/../../../dark-lover-black-dagger-brotherhood-1_319/index.html,In stock,One
Changing the Game (Play by Play #2),£13.38,http://books.toscrape.com/catalogue/../../../changing-the-game-play-by-play-2_317/index.html,In stock,Three
A Walk to Remember,£56.43,http://books.toscrape.com/catalogue/../../../a-walk-to-remember_312/index.html,In stock,One
The Purest Hook (Second Circle Tattoos #3),£12.25,http://books.toscrape.com/catalogue/../../../the-purest-hook-second-circle-tattoos-3_271/index.html,In stock,One
The Obsession,£45.43,http://books.toscrape.com/catalogue/../../../the-obsession_268/index.html,In stock,One
Reservations for Two,£11.10,http://books.toscrape.com/catalogue/../../../reservations-for-two_211/index.html,In stock,Three
Best of My Love (Fool's Gold #20),£27.41,http://books.toscrape.com/catalogue/../../../best-of-my-love-fools-gold-20_127/index.html,In stock,Two
Where Lightning Strikes (Bleeding Stars #3),£39.77,http://books.toscrape.com/catalogue/../../../where-lightning-strikes-bleeding-stars-3_96/index.html,In stock,Three
This One Moment (Pushing Limits #1),£48.71,http://books.toscrape.com/catalogue/../../../this-one-moment-pushing-limits-1_88/index.html,In stock,One
"Rhythm, Chord & Malykhin",£28.34,http://books.toscrape.com/catalogue/../../../rhythm-chord-malykhin_47/index.html,In stock,Two
My Perfect Mistake (Over the Top #1),£38.92,http://books.toscrape.com/catalogue/../../../my-perfect-mistake-over-the-top-1_35/index.html,In stock,Two
Listen to Me (Fusion #1),£58.99,http://books.toscrape.com/catalogue/../../../listen-to-me-fusion-1_29/index.html,In stock,Three
Imperfect Harmony,£34.74,http://books.toscrape.com/catalogue/../../../imperfect-harmony_26/index.html,In stock,Four
Fighting Fate (Fighting #6),£39.24,http://books.toscrape.com/catalogue/../../../fighting-fate-fighting-6_18/index.html,In stock,Three
Deep Under (Walker Security #1),£47.09,http://books.toscrape.com/catalogue/../../../deep-under-walker-security-1_15/index.html,In stock,Five
Charity's Cross (Charles Towne Belles #4),£41.24,http://books.toscrape.com/catalogue/../../../charitys-cross-charles-towne-belles-4_12/index.html,In stock,One
Bounty (Colorado Mountain #7),£37.26,http://books.toscrape.com/catalogue/../../../bounty-colorado-mountain-7_9/index.html,In stock,Four
