title,price,link,in stock,ratings
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,http://books.toscrape.com/catalogue/../../../mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,In stock,One
Join,£35.67,http://books.toscrape.com/catalogue/../../../join_902/index.html,In stock,Five
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,http://books.toscrape.com/catalogue/../../../william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,In stock,Four
The Project,£10.65,http://books.toscrape.com/catalogue/../../../the-project_856/index.html,In stock,One
Soft Apocalypse,£26.12,http://books.toscrape.com/catalogue/../../../soft-apocalypse_833/index.html,In stock,Two
Sleeping Giants (Themis Files #1),£48.74,http://books.toscrape.com/catalogue/../../../sleeping-giants-themis-files-1_604/index.html,In stock,One
Arena,£21.36,http://books.toscrape.com/catalogue/../../../arena_587/index.html,In stock,Four
Foundation (Foundation (Publication Order) #1),£32.42,http://books.toscrape.com/catalogue/../../../foundation-foundation-publication-order-1_375/index.html,In stock,One
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),£10.92,http://books.toscrape.com/catalogue/../../../the-restaurant-at-the-end-of-the-universe-hitchhikers-guide-to-the-galaxy-2_275/index.html,In stock,One
Ready Player One,£19.07,http://books.toscrape.com/catalogue/../../../ready-player-one_209/index.html,In stock,Four
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",£33.26,http://books.toscrape.com/catalogue/../../../life-the-universe-and-everything-hitchhikers-guide-to-the-galaxy-3_189/index.html,In stock,Two
Dune (Dune #1),£54.86,http://books.toscrape.com/catalogue/../../../dune-dune-1_151/index.html,In stock,One
Do Androids Dream of Electric Sheep? (Blade Runner #1),£51.48,http://books.toscrape.com/catalogue/../../../do-androids-dream-of-electric-sheep-blade-runner-1_149/index.html,In stock,One
Three Wishes (River of Time: California #1),£44.18,http://books.toscrape.com/catalogue/../../../three-wishes-river-of-time-california-1_89/index.html,In stock,Two
The Last Girl (The Dominion Trilogy #1),£36.26,http://books.toscrape.com/catalogue/../../../the-last-girl-the-dominion-trilogy-1_70/index.html,In stock,Two
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),£34.96,http://books.toscrape.com/catalogue/../../../having-the-barbarians-baby-ice-planet-barbarians-75_23/index.html,In stock,Four
