title,price,link,in stock,ratings
In Her Wake,£12.84,http://books.toscrape.com/catalogue/../../../in-her-wake_980/index.html,In stock,One
The Elephant Tree,£23.82,http://books.toscrape.com/catalogue/../../../the-elephant-tree_968/index.html,In stock,Five
Behind Closed Doors,£52.22,http://books.toscrape.com/catalogue/../../../behind-closed-doors_962/index.html,In stock,Four
You (You #1),£43.61,http://books.toscrape.com/catalogue/../../../you-you-1_784/index.html,In stock,Five
The Guilty (Will Robie #4),£13.82,http://books.toscrape.com/catalogue/../../../the-guilty-will-robie-4_750/index.html,In stock,Two
The 14th Colony (Cotton Malone #11),£39.24,http://books.toscrape.com/catalogue/../../../the-14th-colony-cotton-malone-11_744/index.html,In stock,One
Give It Back,£18.32,http://books.toscrape.com/catalogue/../../../give-it-back_430/index.html,In stock,Two
Killing Floor (Jack Reacher #1),£31.49,http://books.toscrape.com/catalogue/../../../killing-floor-jack-reacher-1_382/index.html,In stock,Four
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),£59.71,http://books.toscrape.com/catalogue/../../../the-bone-hunters-lexy-vaughan-steven-macaulay-2_343/index.html,In stock,Three
Far From True (Promise Falls Trilogy #2),£34.93,http://books.toscrape.com/catalogue/../../../far-from-true-promise-falls-trilogy-2_320/index.html,In stock,Two
The Travelers,£15.77,http://books.toscrape.com/catalogue/../../../the-travelers_285/index.html,In stock,One
