title,price,link,in stock,ratings
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,£57.36,http://books.toscrape.com/catalogue/../../../i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html,In stock,Four
Will You Won't You Want Me?,£13.86,http://books.toscrape.com/catalogue/../../../will-you-wont-you-want-me_644/index.html,In stock,Three
Keep Me Posted,£20.46,http://books.toscrape.com/catalogue/../../../keep-me-posted_594/index.html,In stock,Four
Grey (Fifty Shades #4),£48.49,http://books.toscrape.com/catalogue/../../../grey-fifty-shades-4_592/index.html,In stock,Four
Meternity,£43.58,http://books.toscrape.com/catalogue/../../../meternity_478/index.html,In stock,Three
Some Women,£13.73,http://books.toscrape.com/catalogue/../../../some-women_341/index.html,In stock,Five
Shopaholic Ties the Knot (Shopaholic #3),£48.39,http://books.toscrape.com/catalogue/../../../shopaholic-ties-the-knot-shopaholic-3_340/index.html,In stock,Five
Can You Keep a Secret?,£21.94,http://books.toscrape.com/catalogue/../../../can-you-keep-a-secret_315/index.html,In stock,One
Twenties Girl,£42.80,http://books.toscrape.com/catalogue/../../../twenties-girl_292/index.html,In stock,Two
The Undomestic Goddess,£45.75,http://books.toscrape.com/catalogue/../../../the-undomestic-goddess_286/index.html,In stock,Four
The Nanny Diaries (Nanny #1),£52.53,http://books.toscrape.com/catalogue/../../../the-nanny-diaries-nanny-1_265/index.html,In stock,Five
The Devil Wears Prada (The Devil Wears Prada #1),£44.29,http://books.toscrape.com/catalogue/../../../the-devil-wears-prada-the-devil-wears-prada-1_243/index.html,In stock,One
Something Borrowed (Darcy & Rachel #1),£48.96,http://books.toscrape.com/catalogue/../../../something-borrowed-darcy-rachel-1_224/index.html,In stock,Five
Something Blue (Darcy & Rachel #2),£54.62,http://books.toscrape.com/catalogue/../../../something-blue-darcy-rachel-2_223/index.html,In stock,One
I've Got Your Number,£19.69,http://books.toscrape.com/catalogue/../../../ive-got-your-number_173/index.html,In stock,One
The Edge of Reason (Bridget Jones #2),£19.18,http://books.toscrape.com/catalogue/../../../the-edge-of-reason-bridget-jones-2_63/index.html,In stock,Four
Bridget Jones's Diary (Bridget Jones #1),£29.82,http://books.toscrape.com/catalogue/../../../bridget-joness-diary-bridget-jones-1_10/index.html,In stock,One
