title,price,link,in stock,ratings
The Requiem Red,£22.65,http://books.toscrape.com/catalogue/../../../the-requiem-red_995/index.html,In stock,One
Set Me Free,£17.46,http://books.toscrape.com/catalogue/../../../set-me-free_988/index.html,In stock,Five
The Natural History of Us (The Fine Art of Pretending #2),£45.22,http://books.toscrape.com/catalogue/../../../the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,In stock,Three
Obsidian (Lux #1),£14.86,http://books.toscrape.com/catalogue/../../../obsidian-lux-1_911/index.html,In stock,Two
Burning,£28.81,http://books.toscrape.com/catalogue/../../../burning_884/index.html,In stock,Three
A Fierce and Subtle Poison,£28.13,http://books.toscrape.com/catalogue/../../../a-fierce-and-subtle-poison_875/index.html,In stock,Four
Scarlett Epstein Hates It Here,£43.55,http://books.toscrape.com/catalogue/../../../scarlett-epstein-hates-it-here_828/index.html,In stock,Five
"Nightingale, Sing",£38.28,http://books.toscrape.com/catalogue/../../../nightingale-sing_823/index.html,In stock,One
Library of Souls (Miss Peregrine’s Peculiar Children #3),£48.56,http://books.toscrape.com/catalogue/../../../library-of-souls-miss-peregrines-peculiar-children-3_816/index.html,In stock,Five
Frostbite (Vampire Academy #2),£29.99,http://books.toscrape.com/catalogue/../../../frostbite-vampire-academy-2_810/index.html,In stock,Five
Wild Swans,£14.36,http://books.toscrape.com/catalogue/../../../wild-swans_782/index.html,In stock,Two
Until Friday Night (The Field Party #1),£46.31,http://books.toscrape.com/catalogue/../../../until-friday-night-the-field-party-1_775/index.html,In stock,Two
This Is Where It Ends,£27.12,http://books.toscrape.com/catalogue/../../../this-is-where-it-ends_771/index.html,In stock,Two
The Darkest Lie,£35.35,http://books.toscrape.com/catalogue/../../../the-darkest-lie_747/index.html,In stock,Five
My Kind of Crazy,£40.36,http://books.toscrape.com/catalogue/../../../my-kind-of-crazy_718/index.html,In stock,One
Don't Get Caught,£55.35,http://books.toscrape.com/catalogue/../../../dont-get-caught_687/index.html,In stock,One
Catching Jordan (Hundred Oaks),£50.83,http://books.toscrape.com/catalogue/../../../catching-jordan-hundred-oaks_673/index.html,In stock,Three
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),£58.14,http://books.toscrape.com/catalogue/../../../aristotle-and-dante-discover-the-secrets-of-the-universe-aristotle-and-dante-discover-the-secrets-of-the-universe-1_663/index.html,In stock,Four
The Epidemic (The Program 0.6),£14.44,http://books.toscrape.com/catalogue/../../../the-epidemic-the-program-06_636/index.html,In stock,Five
Stars Above (The Lunar Chronicles #4.5),£48.05,http://books.toscrape.com/catalogue/../../../stars-above-the-lunar-chronicles-45_632/index.html,In stock,Two
